runmin	runmax	lumlo	lumhi	chi2	sigma_z	betax	betay	z0x	z0y	z0z
0	180956	0	0.5	111.414	38.3325	54.5775	60.8882	1.7445	-0.161267	3.31719
0	180956	0.5	1	114.768	37.0302	54.5775	60.8882	1.7445	-0.161267	3.50394
0	180956	1	1.5	75.677	35.3443	54.5775	60.8882	1.7445	-0.161267	3.98647
0	180956	1.5	1000	64.2011	31.3966	54.5775	60.8882	1.7445	-0.161267	3.13908
 										

185746	190370	0	0.5	232.271	36.7509	52.1754	60.2895	2.00494	-1.40588	-0.69133
185746	190370	0.5	1	186.278	35.0168	52.1754	60.2895	2.00494	-1.40588	-0.742455
185746	190370	1	1.5	77.5163	32.3772	52.1754	60.2895	2.00494	-1.40588	-1.0508
185746	190370	1.5	2	77.9514	31.8099	52.1754	60.2895	2.00494	-1.40588	-1.23188
185746	190370	2	1000	80.1771	28.659	52.1754	60.2895	2.00494	-1.40588	-1.25262
 										

191266	194565	0	0.5	81.3528	42.7688	37.8511	44.6388	-1.86572	-2.54518	-0.512129
191266	194565	0.5	1	175.069	38.5443	37.8511	44.6388	-1.86572	-2.54518	-1.70158
191266	194565	1	1.5	103.204	35.1707	37.8511	44.6388	-1.86572	-2.54518	-2.08443
191266	194565	1.5	2	72.0765	32.2238	37.8511	44.6388	-1.86572	-2.54518	-2.07495
191266	194565	2	2.5	69.4226	31.8914	37.8511	44.6388	-1.86572	-2.54518	-2.06957
191266	194565	2.5	1000	94.9224	25.3855	37.8511	44.6388	-1.86572	-2.54518	3.12177
 										

194567	196584	0	0.5	95.2001	39.6225	34.1214	40.5771	-1.91021	-1.25008	-1.23575
194567	196584	0.5	1	133.658	37.774	34.1214	40.5771	-1.91021	-1.25008	-1.70289
194567	196584	1	1.5	83.8798	35.6673	34.1214	40.5771	-1.91021	-1.25008	-1.7034
194567	196584	1.5	2	104.498	34.1069	34.1214	40.5771	-1.91021	-1.25008	-1.89826
194567	196584	2	2.5	82.0134	32.4311	34.1214	40.5771	-1.91021	-1.25008	-2.38326
194567	196584	2.5	1000	71.5763	32.839	34.1214	40.5771	-1.91021	-1.25008	-1.03567


200000	204805	0	0.5	89.7272	40.8688	33.1056	36.68	-2.16498	-1.31056	-1.11658
200000	204805	0.5	1	137.571	39.2479	33.1056	36.68	-2.16498	-1.31056	-1.50536
200000	204805	1	1.5	131.098	37.2872	33.1056	36.68	-2.16498	-1.31056	-1.41259
200000	204805	1.5	2	91.1421	35.8402	33.1056	36.68	-2.16498	-1.31056	-1.00617
200000	204805	2	2.5	88.4725	35.1406	33.1056	36.68	-2.16498	-1.31056	-1.83225
200000	204805	2.5	3	65.8598	35.1847	33.1056	36.68	-2.16498	-1.31056	-0.909957
 										

204808	206113	0	0.5	84.7268	41.7697	32.6275	34.6945	-2.23157	-1.63038	-0.469469
204808	206113	0.5	1	78.4343	42.3322	32.6275	34.6945	-2.23157	-1.63038	-0.636515
204808	206113	1	1.5	70.6013	40.054	32.6275	34.6945	-2.23157	-1.63038	-0.833339
204808	206113	1.5	2	59.7441	38.5927	32.6275	34.6945	-2.23157	-1.63038	-0.687778
204808	206113	2	2.5	64.9624	37.5109	32.6275	34.6945	-2.23157	-1.63038	-1.3599
204808	206113	2.5	1000	90.3194	36.6062	32.6275	34.6945	-2.23157	-1.63038	-1.3546
 										

206162	208122	0	0.5	100.319	41.7315	32.722	37.0229	-2.16385	-1.7177	0.152999
206162	208122	0.5	1	94.7518	40.1619	32.722	37.0229	-2.16385	-1.7177	0.0800065
206162	208122	1	1.5	109.537	38.6123	32.722	37.0229	-2.16385	-1.7177	-0.170195
206162	208122	1.5	2	94.9918	37.6644	32.722	37.0229	-2.16385	-1.7177	-0.180525
206162	208122	2	2.5	109.608	35.8721	32.722	37.0229	-2.16385	-1.7177	-0.347487
206162	208122	2.5	1000	68.3651	35.9821	32.722	37.0229	-2.16385	-1.7177	-0.360489


208123	211213	0	0.5	104.511	41.1026	32.2113	34.6173	-1.41029	-0.93417	-1.23756
208123	211213	0.5	1	181.032	40.2461	32.2113	34.6173	-1.41029	-0.93417	-1.04915
208123	211213	1	1.5	151.143	37.9423	32.2113	34.6173	-1.41029	-0.93417	-1.23218
208123	211213	1.5	2	93.1261	36.7388	32.2113	34.6173	-1.41029	-0.93417	-1.01922
208123	211213	2	2.5	88.5745	35.6735	32.2113	34.6173	-1.41029	-0.93417	-1.11665
208123	211213	2.5	1000	81.333	35.7267	32.2113	34.6173	-1.41029	-0.93417	-1.2477
 										

211214	212107	0	0.5	133.659	38.0412	31.9185	30.735	-1.39733	0.399938	-3.17852
211214	212107	0.5	1	274.893	37.6416	31.9185	30.735	-1.39733	0.399938	-3.09858
211214	212107	1	1.5	132.109	36.2273	31.9185	30.735	-1.39733	0.399938	-3.23273
211214	212107	1.5	2	116.201	35.5229	31.9185	30.735	-1.39733	0.399938	-2.98535
211214	212107	2	2.5	133.774	34.5064	31.9185	30.735	-1.39733	0.399938	-3.06113
211214	212107	2.5	1000	84.3257	34.4133	31.9185	30.735	-1.39733	0.399938	-3.42062
 										

212900	215670	0	0.5	95.8486	39.8027	26.8294	33.1116	-1.90473	0.698363	-0.191685
212900	215670	0.5	1	167.124	40.6387	26.8294	33.1116	-1.90473	0.698363	-0.729922
212900	215670	1	1.5	171.035	39.577	26.8294	33.1116	-1.90473	0.698363	-1.24284
212900	215670	1.5	2	107.161	38.3963	26.8294	33.1116	-1.90473	0.698363	-1.12885
212900	215670	2	2.5	113.105	37.1748	26.8294	33.1116	-1.90473	0.698363	-1.11413
212900	215670	2.5	1000	93.5428	36.2915	26.8294	33.1116	-1.90473	0.698363	-0.966374
